ANIP,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,FXCM,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,AREX,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,ACI,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,BAS,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,BCEI,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,CRR,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,DMND,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,EBIX,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,EHTH,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,GDOT,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,LL,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,MCF,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,NOG,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,PERY,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,REXX,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month,,,,SFY,Price,Change in Price,PE (T-1),Retail Hlds. (T-1),Crash Month
3/21/10,64.08,,,,,,12/26/10,12.9,,,,,,,,3/21/10,9.14,,,,,,,,3/21/10,23.6,,,,,,,,3/21/10,8.68,,,,,,,,1/1/12,12.5,,,,,,,,3/21/10,63.03,,,,,,,,3/21/10,41.5,,,,,,,,3/21/10,16.76,,,,,,,,3/21/10,18.15,,,,,,,,8/1/10,43.5,,,,,,,,3/21/10,24.92,,,,,,,,3/21/10,48.1646,,,,,,,,3/21/10,12.99,,,,,,,,3/21/10,19.9202,,,,,,,,3/21/10,12.27,,,,,,,,3/21/10,30.76,,,,
3/28/10,66.96,0.044943820224719,25.683,74.32,0,,1/2/11,13.25,0.0271317829457365,,100.00,0,,,,3/28/10,9.01,-0.014223194748359,60.3743,45.90,0,,,,3/28/10,22.69,-0.0385593220338983,71.9512,5.44,0,,,,3/28/10,8.2,-0.055299539170507,,14.04,0,,,,1/8/12,14.27,0.1416,,36.16,0,,,,3/28/10,61.06,-0.0312549579565287,27.4354,4.85,0,,,,3/28/10,41.59,0.00216867469879523,22.1306,30.68,0,,,,3/28/10,16.09,-0.0399761336515514,16.3795,-0.57,,,,,3/28/10,16.79,-0.074931129476584,29.2742,15.05,0,,,,8/8/10,43.65,0.00344827586206886,,99.99,0,,,,3/28/10,26.42,0.0601926163723916,25.6907,12.01,0,,,,3/28/10,46.504,-0.0344776038833501,20.0577,37.51,0,,,,3/28/10,14.11,0.0862201693610469,,26.09,0,,,,3/28/10,22.2744,0.118181544362004,19.5798,34.65,0,,,,3/28/10,11.07,-0.0977995110024449,,54.37,0,,,,3/28/10,30.1,-0.0214564369310793,,-3.91,0
4/4/10,65.52,-0.021505376344086,25.721,74.28,0,,1/9/11,13.44,0.0143396226415093,,100.00,0,,,,4/4/10,9.42,0.0455049944506105,59.5156,45.65,0,,,,4/4/10,23.38,0.030409872190392,69.1768,5.16,0,,,,4/4/10,8.18,-0.0024390243902439,,14.01,0,,,,1/15/12,14.17,-0.00700770847932719,28.1206,36.16,0,,,,4/4/10,63.97,0.0476580412708811,26.5779,5.04,0,,,,4/4/10,41.75,0.00384707862466938,22.1786,30.55,0,,,,4/4/10,16.03,-0.00372902423865751,15.7247,-0.54,,,,,4/4/10,15.75,-0.0619416319237641,27.0806,14.75,0,,,,8/15/10,45.01,0.0311569301260022,,99.99,0,,,,4/4/10,26.69,0.0102195306585919,27.2371,10.71,0,,,,4/4/10,48.891,0.0513289179425427,19.3662,37.36,0,,,,4/4/10,16.7,0.183557760453579,,25.83,0,,,,4/4/10,22.3315,0.00256348094673697,21.8938,34.64,0,,,,4/4/10,12.04,0.0876242095754289,,54.79,0,,,,4/4/10,32.5,0.0797342192691028,,-5.78,0
4/11/10,65.52,0,25.57,74.43,0,,1/16/11,14.65,0.0900297619047619,,100.00,0,,,,4/11/10,9.39,-0.00318471337579607,49.9007,45.60,0,,,,4/11/10,25.29,0.0816937553464501,252.0564,4.96,0,,,,4/11/10,9.41,0.150366748166259,,14.01,0,,,,1/22/12,14.67,0.0352858151023288,27.9235,36.16,0,,,,4/11/10,66.42,0.0382992027512896,26.4826,5.37,0,,,,4/11/10,42.96,0.0289820359281436,22.2639,30.51,0,,,,4/11/10,16.81,0.04865876481597,14.3995,0.04,,,,,4/11/10,15.15,-0.0380952380952381,25,14.75,0,,,,8/22/10,46,0.0219951121972894,,98.89,0,,,,4/11/10,27.88,0.0445859872611465,25.9126,10.71,0,,,,4/11/10,52.2498,0.068699760692152,19.7836,37.33,0,,,,4/11/10,17.15,0.0269461077844311,,25.83,0,,,,4/11/10,23.2942,0.0431095089895439,21.95,34.67,0,,,,4/11/10,13.89,0.153654485049834,,54.76,0,,,,4/11/10,34.14,0.0504615384615386,40.4794,-5.76,0
4/18/10,66.96,0.0219780219780219,21.399,78.60,0,,1/23/11,13.38,-0.0866894197952218,,100.00,0,,,,4/18/10,8.99,-0.0425985090521832,49.7418,45.28,0,,,,4/18/10,26,0.0280743376828787,272.6479,4.00,0,,,,4/18/10,9.68,0.0286928799149839,,14.02,0,,,,1/29/12,16.05,0.0940695296523517,28.9089,36.16,0,,,,4/18/10,72.55,0.0922914784703401,27.4969,5.27,0,,,,4/18/10,44.71,0.0407355679702048,22.9092,30.67,0,,,,4/18/10,16.21,-0.0356930398572277,15.1002,-0.15,,,,,4/18/10,15.36,0.0138613861386139,24.0476,14.74,0,,,,8/29/10,46.46,0.01,,98.89,0,,,,4/18/10,29.32,0.0516499282639886,27.068,10.79,0,,,,4/18/10,54.3066,0.0393647439798812,21.1427,37.20,0,,,,4/18/10,16.85,-0.0174927113702622,,25.86,0,,,,4/18/10,23.4848,0.00818229430502004,22.8962,34.35,0,,,,4/18/10,13.2,-0.0496760259179266,,54.37,0,,,,4/18/10,36.27,0.0623901581722321,42.522,-5.54,0
4/25/10,77.04,0.150537634408602,21.399,78.60,0,,1/30/11,13.28,-0.0074738415545591,,96.54,0,,,,4/25/10,9.45,0.0511679644048941,47.6228,45.27,0,,,,4/25/10,28.13,0.081923076923077,280.3023,4.02,0,,,,4/25/10,10.68,0.103305785123967,,14.16,0,,,,2/5/12,17.02,0.0604361370716511,31.6283,36.15,0,,,,4/25/10,77.86,0.0731909028256374,30.0346,5.05,0,,,,4/25/10,45.905,0.0267278013867145,23.8424,16.86,0,,,,4/25/10,16.24,0.00185070943861798,14.5612,-0.46,,,,,4/25/10,14.93,-0.0279947916666666,24.381,14.07,0,,,,9/5/10,49.85,0.072965992251399,,98.05,0,,,,4/25/10,31.99,0.0910641200545701,28.466,10.83,0,,,,4/25/10,56.5427,0.0411754740676087,21.9749,38.06,0,,,,4/25/10,17.12,0.0160237388724036,,24.05,0,,,,4/25/10,25.4959,0.0856341122768769,23.0836,34.81,0,,,,4/25/10,13.31,0.00833333333333353,,54.32,0,,,,4/25/10,38.17,0.0523848910945686,45.175,-5.22,0
5/2/10,84.6,0.0981308411214952,21.109,78.89,0,,2/6/11,13.93,0.0489457831325302,,93.97,0,,,,5/2/10,8.95,-0.0529100529100529,50.0596,43.89,0,,,,5/2/10,27,-0.0401706363313188,303.2655,4.18,0,,,,5/2/10,10.21,-0.0440074906367041,,13.54,0,,,,2/12/12,16.63,-0.0229142185663925,33.5398,35.97,0,,,,5/2/10,73.25,-0.0592088363729771,32.2329,5.33,0,,,,5/2/10,42.71,-0.0696002614094325,24.4796,17.36,0,,,,5/2/10,16.27,0.00184729064039413,14.5882,-1.74,,,,,5/2/10,13.71,-0.0817146684527795,23.6984,8.78,0,,,,9/12/10,51.91,0.0413239719157472,,95.69,0,,,,5/2/10,30.46,-0.0478274460768989,31.0583,9.61,0,,,,5/2/10,51.797,-0.0839312590307856,22.8797,37.96,0,,,,5/2/10,16.26,-0.0502336448598131,,24.30,0,,,,5/2/10,22.9987,-0.0979451598100086,25.0603,35.23,0,,,,5/2/10,13.3,-0.000751314800901515,,53.29,0,,,,5/2/10,36.18,-0.0521351847000262,47.5415,-5.45,0
5/9/10,75.24,-0.11063829787234,21.076,78.92,0,,2/13/11,12.97,-0.068916008614501,,85.71,0,,,,5/9/10,7.43,-0.169832402234637,47.4109,43.88,0,,,,5/9/10,23.84,-0.117037037037037,291.0832,4.87,0,,,,5/9/10,7.72,-0.243878550440744,,14.46,0,,,,2/19/12,17.45,0.0493084786530367,32.7712,35.92,0,,,,5/9/10,63.03,-0.139522184300341,30.3244,5.64,0,,,,5/9/10,42,-0.0166237415125263,20.3216,16.90,0,,,,5/9/10,14.7,-0.0964966195451752,14.6151,2.59,,,,,5/9/10,12.43,-0.0933625091174326,21.7619,11.08,0,,,,9/19/10,52.71,0.0154112887690234,,95.14,0,,,,5/9/10,28.02,-0.0801050558108996,29.5728,8.34,0,,,,5/9/10,48.1363,-0.0706739772573701,20.9594,37.15,0,,,,5/9/10,13.79,-0.151906519065191,,24.36,0,,,,5/9/10,18.9003,-0.178201376599547,16.8195,34.16,0,,,,5/9/10,12.06,-0.0932330827067669,,52.26,0,,,,5/9/10,29.98,-0.171365395245992,45.0629,-6.14,0
5/16/10,82.8,0.100478468899522,21.164,78.84,0,,2/20/11,12.03,-0.0724749421742483,,62.75,0,,,,5/16/10,7.85,0.0565275908479139,39.359,43.29,0,,,,5/16/10,23.97,0.00545302013422821,257.0156,3.51,0,,,,5/16/10,8.76,0.134715025906736,,14.16,0,,,,2/26/12,19.33,0.107736389684814,34.3872,35.56,0,,,,5/16/10,68.15,0.0812311597651914,26.0935,9.20,0,,,,5/16/10,43.36,0.0323809523809524,19.9838,15.16,0,,,,5/16/10,15.11,0.027891156462585,13.2048,5.06,,,,,5/16/10,12.85,0.0337892196299276,19.7302,10.87,0,,,,9/26/10,52,-0.0134699298045912,,94.32,0,,,,5/16/10,29.73,0.0610278372591007,27.2039,7.08,0,,,,5/16/10,51.5422,0.0707553343318867,19.4781,35.39,0,,,,5/16/10,14.38,0.0427846265409719,,22.23,0,,,,5/16/10,21.083,0.115484939392496,13.8223,34.01,0,,,,5/16/10,12.25,0.0157545605306799,,46.71,0,,,,5/16/10,31.28,0.0433622414943295,37.3407,-6.91,0
5/23/10,69.48,-0.160869565217391,22.348,77.65,0,,2/27/11,11.52,-0.0423940149625935,,1.71,0,,,,5/23/10,7.23,-0.0789808917197451,41.5839,45.87,0,,,,5/23/10,20.51,-0.144347100542344,258.4172,5.19,0,,,,5/23/10,8.27,-0.0559360730593608,,10.62,0,,,,3/4/12,17.8,-0.0791515778582513,38.0919,16.37,0,,,,5/23/10,65.43,-0.0399119589141599,28.2131,6.77,0,,,,5/23/10,41.25,-0.0486623616236163,20.6309,2.27,0,,,,5/23/10,14.47,-0.0423560555923229,13.5731,6.44,,,,,5/23/10,12.66,-0.0147859922178988,20.3968,4.13,0,,,,10/3/10,48.85,-0.0605769230769231,,93.92,0,,,,5/23/10,28.34,-0.0467541204170872,28.8641,-5.86,0,,,,5/23/10,47.1739,-0.0847519120254858,20.8563,31.43,0,,,,5/23/10,12.57,-0.12586926286509,,37.50,0,,,,5/23/10,22.0551,0.0461082388654366,15.4185,30.30,0,,,,5/23/10,10.43,-0.148571428571429,,35.54,0,,,,5/23/10,27.89,-0.108375959079284,38.9598,-2.72,0
